bar,timestamp,session,p_profit,action,signal,equity_cny,exec,risk_event,drawdown_pct
10,2024-01-15 02:20:20.979021,CHINA_HOURS,0.529732048530361,INACTION,HOLD,1000000.0,[SSE HOLD],,0.0
11,2024-01-15 02:25:23.076923,CHINA_HOURS,0.4853121103591039,INACTION,HOLD,1000000.0,[SSE HOLD],,0.0
12,2024-01-15 02:30:25.174825,CHINA_HOURS,0.442331019004186,INACTION,HOLD,1000000.0,[SSE HOLD],,0.0
13,2024-01-15 02:35:27.272727,CHINA_HOURS,0.4519214685163295,INACTION,HOLD,1000000.0,[SSE HOLD],,0.0
14,2024-01-15 02:40:29.370629,CHINA_HOURS,0.47835670469851305,INACTION,HOLD,1000000.0,[SSE HOLD],,0.0
15,2024-01-15 02:45:31.468531,CHINA_HOURS,0.5733232854045609,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
16,2024-01-15 02:50:33.566434,CHINA_HOURS,0.6469273092474438,ACTION,SELL,1000000.0,[SSE HOLD],,0.0
17,2024-01-15 02:55:35.664336,CHINA_HOURS,0.6319340538724169,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
18,2024-01-15 03:00:37.762238,CHINA_HOURS,0.6541635666470609,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
19,2024-01-15 03:05:39.860140,CHINA_HOURS,0.718034906681635,HOLD(cost),HOLD,1000000.0,[SSE HOLD],STOP_LOSS,0.0
20,2024-01-15 03:10:41.958042,CHINA_HOURS,0.8379028715899125,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
21,2024-01-15 03:15:44.055944,CHINA_HOURS,0.8421848320416634,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
22,2024-01-15 03:20:46.153846,CHINA_HOURS,0.8614130314319651,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
23,2024-01-15 03:25:48.251748,CHINA_HOURS,0.8463276058215501,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
24,2024-01-15 03:30:50.349650,CHINA_HOURS,0.8377349404905889,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
25,2024-01-15 03:35:52.447552,CHINA_HOURS,0.8424326941536011,HOLD(cost),HOLD,1000000.0,[SSE HOLD],,0.0
